Home Team,Home Score,Visitor Score,Visiting Team
Miami RedHawks,6,13,Northwestern Wildcats
North Dakota,3,21,Iowa State Cyclones
Ohio Bobcats,22,38,Syracuse Orange
UTEP Miners,7,40,Nebraska Cornhuskers
Western Illinois,15,54,Northern Illinois Huskies
Portland State,30,70,Washington State Cougars
Towson Tigers,20,38,Cincinnati Bearcats
South Dakota State,20,44,Oklahoma State Cowboys
Chattanooga,3,69,Tennessee Volunteers
Austin Peay Governors,0,62,Louisville Cardinals
Bucknell,21,49,Navy Midshipmen
Clemson Tigers,3,34,Georgia Bulldogs
Connecticut Huskies,7,50,Maryland Terrapins
Illinois State,0,40,Iowa Hawkeyes
Indiana State,0,49,Purdue Boilermakers
Kent State Golden Flashes,24,55,Pittsburgh Panthers
Penn State Nittany Lions,34,12,West Virginia Mountaineers
Virginia Tech Hokies,27,34,Vanderbilt Commodores
TCU Horned Frogs,34,27,Stanford Cardinal
Western Michigan Broncos,14,28,Wisconsin Badgers
Elon Phoenix,3,26,Duke Blue Devils
Florida Atlantic Owls,10,16,Michigan State Spartans
Temple Owls,3,51,Oklahoma Sooners
Lehigh Mountain Hawks,7,42,Army Black Knight
CS Sacramento,24,42,San Jose State Spartans
Eastern Illinois Panthers,0,45,Illinois Fighting Illini
Southern Utah,0,49,Utah Utes
Alcorn State,3,41,UAB Blazers
Coastal Carolina Chanticleers,55,27,Jacksonville State
Lindenwood Lions,3,48,Kansas Jayhawks
Murray State Racers,0,51,Missouri Tigers
North Carolina Tar Heels,19,17,Minnesota Golden Gophers
North Dakota State,26,31,Colorado Buffaloes
